chrom pos500 Mean_cM
1 1 2.35207150723288
1 500001 2.30255672125443
1 1000001 2.27186572860815
1 1500001 2.23253305792774
1 2000001 2.19648610600988
1 2500001 2.16031854036054
1 3000001 2.12474929877811
1 3500001 2.0871170435499
1 4000001 2.0540093033834
1 4500001 2.01932552203557
1 5000001 1.98155723349481
1 5500001 1.95078746865768
1 6000001 1.91468673048286
1 6500001 1.8820643824637
1 7000001 1.84971070048056
1 7500001 1.81521509075564
1 8000001 1.78193804195391
1 8500001 1.74944976005303
1 9000001 1.71892892661916
1 9500001 1.68602280688844
1 10000001 1.65610716523882
1 10500001 1.62479519394079
1 11000001 1.59497332912438
1 11500001 1.56547146877716
1 12000001 1.53527672842721
1 12500001 1.50783702024455
1 13000001 1.47606924365268
1 13500001 1.44765721253684
1 14000001 1.41803002417508
1 14500001 1.38969887108273
1 15000001 1.36401344077947
1 15500001 1.33808791625533
1 16000001 1.30981748200785
1 16500001 1.28304752366246
1 17000001 1.25761080496903
1 17500001 1.23207318674883
1 18000001 1.20621597899282
1 18500001 1.18094494970725
1 19000001 1.15707525410623
1 19500001 1.13329126289941
1 20000001 1.1074373501601
1 20500001 1.08526306651284
1 21000001 1.06140320765563
1 21500001 1.03764994856013
1 22000001 1.01640506127788
1 22500001 0.994005146171839
1 23000001 0.970905252484851
1 23500001 0.950751024201409
1 24000001 0.929969462592402
1 24500001 0.90954101726931
1 25000001 0.887082987765392
1 25500001 0.867680387504701
1 26000001 0.847714086708417
1 26500001 0.827310208401844
1 27000001 0.809398070080384
1 27500001 0.790486632440586
1 28000001 0.771358473174323
1 28500001 0.75483779876692
1 29000001 0.737438610775129
1 29500001 0.719143124194813
1 30000001 0.70244760377622
1 30500001 0.686178626006408
1 31000001 0.669650220856323
1 31500001 0.654324216989833
1 32000001 0.638771173140497
1 32500001 0.624010586607762
1 33000001 0.608755175297008
1 33500001 0.5941295477128
1 34000001 0.580655695199152
1 34500001 0.567084894915889
1 35000001 0.553942880526933
1 35500001 0.540935966281601
1 36000001 0.528161036254562
1 36500001 0.515862206834833
1 37000001 0.503764324460378
1 37500001 0.492196802068527
1 38000001 0.481002355161076
1 38500001 0.469408337309308
1 39000001 0.460111489408965
1 39500001 0.449445328628146
1 40000001 0.440181594452404
1 40500001 0.429903952200318
1 41000001 0.421688747641178
1 41500001 0.412736222800185
1 42000001 0.40465102228444
1 42500001 0.396457304711536
1 43000001 0.388855896219928
1 43500001 0.381728187102658
1 44000001 0.374972404768863
1 44500001 0.367937775649696
1 45000001 0.361888916457974
1 45500001 0.356101649644734
1 46000001 0.350841078119104
1 46500001 0.345900647177848
1 47000001 0.341001879995008
1 47500001 0.336198385177678
1 48000001 0.33223002990641
1 48500001 0.328640945460944
1 49000001 0.32534586285778
1 49500001 0.322298858126789
1 50000001 0.319745728841493
1 50500001 0.317363201147324
1 51000001 0.315569535313859
1 51500001 0.31393551345642
1 52000001 0.312744606328926
1 52500001 0.311944851883569
1 53000001 0.311421780231851
1 53500001 0.311287101376184
1 54000001 0.311501185337503
1 54500001 0.312120115477399
1 55000001 0.313003635747647
1 55500001 0.314288612914779
1 56000001 0.315931913554857
1 56500001 0.31804712147483
1 57000001 0.320274867123344
1 57500001 0.323092618731487
1 58000001 0.326078787409952
1 58500001 0.329487830339098
1 59000001 0.333436416350787
