comparison	CHR	window	meanFST	meanRsb	MEAN_cM
Finland_Spain	1	1	0	-0.02311704871791998	4.14120329617847
Finland_Spain	1	500001	0	0.6102437139306729	4.14120329618905
Finland_Spain	1	1000001	0	0.17642051520929475	3.66088039974953
Finland_Spain	1	1500001	0	0.18347794793036637	11.2319451589486
Finland_Spain	1	2000001	0.057795163239328755	-0.02171986598883763	11.1985843249484
Finland_Spain	1	2500001	0	0.18625303234121	11.2404415577293
Finland_Spain	1	3000001	0	0.048491841310302396	6.46004642320352
Finland_Spain	1	3500001	0	0.2591802959937965	8.87748590871485
Finland_Spain	1	4000001	0	0.33523444377395434	7.81155063984068
Finland_Spain	1	4500001	0	0.2300431729956947	7.45616388810748
Finland_Spain	1	5000001	0	0.2243969790216391	6.15477761932004
Finland_Spain	1	5500001	0	0.06595208665562047	2.76097037434016
Finland_Spain	1	6000001	0.01591197722777644	-0.2949378353945637	5.53342427985075
Finland_Spain	1	6500001	0.09542197509113953	-0.3560770134162419	3.19745555487458
Finland_Spain	1	7000001	0	0.23534436230567737	2.63052361821207
Finland_Spain	1	7500001	0	0.1866153800139953	0.992824487805656
Finland_Spain	1	8000001	0.00455085458414968	-0.18102695456320564	2.72820838054774
Finland_Spain	1	8500001	0	-0.16627601755597038	0.00112745019739122
Finland_Spain	1	9000001	0.14715302957812482	-0.28514694826651016	2.16316391925531
Finland_Spain	1	9500001	0	0.200865653742934	3.03399901386211
Finland_Spain	1	10000001	0	-0.16109143866674266	0.512813562552523
Finland_Spain	1	10500001	0.027619458161459463	0.23693234223335335	0.513262620198617
Finland_Spain	1	11000001	0.030317046190749045	-0.11757531784355843	0.14889495478182
Finland_Spain	1	11500001	0.17899935398539374	-0.031776553536752974	0.564955995958715
Finland_Spain	1	12000001	0	-0.14849251253286216	0.564955995933766
Finland_Spain	1	12500001	0.19325453924302466	0.08301270245416072	0.564955995949167
Finland_Spain	1	13000001	0.04732299568595404	0.042352109608806726	0.506913319169103
Finland_Spain	1	13500001	0.04766463715031564	0.2633761102015197	0.271365252072552
Finland_Spain	1	14000001	0	0.1948096693256515	0.757564324906053
Finland_Spain	1	14500001	0	0.5870875706242988	0.274208907327834
Finland_Spain	1	15000001	0	0.09600472118678507	0.269519190247177
Finland_Spain	1	15500001	0.18366397732130457	0.262971462683399	0
Finland_Spain	1	16000001	0.07885759127488612	0.14955170955669472	0.0463003146097062
Finland_Spain	1	16500001	0	0.375097802952467	0.49500366722515
Finland_Spain	1	17000001	0	0.04717872858718632	1.0432969081076
Finland_Spain	1	17500001	0	-0.17431564982357214	1.82915073725078e-13
Finland_Spain	1	18000001	0.03655854919110549	-0.44368533043207553	0.577198905243604
Finland_Spain	1	18500001	0.012688644379463529	-0.06661268537557723	0.7013226985271
Finland_Spain	1	19000001	0.11085385040879756	0.10194883936551993	0.100669445495734
Finland_Spain	1	19500001	0	-0.494418671133803	0.979974404299705
Finland_Spain	1	20000001	0	-0.39383975355715967	0.116674435008728
Finland_Spain	1	20500001	0.09672807150712397	-0.23731781970870086	1.60176377340265e-13
Finland_Spain	1	21000001	0.12130228375769884	-0.35358159132530975	0.788614591959249
Finland_Spain	1	21500001	0	-0.041938275957391816	0.94639183030527
Finland_Spain	1	22000001	0	0.07213480080768725	1.67960700880678
Finland_Spain	1	22500001	0	-0.19350893062783456	1.67960700881464
Finland_Spain	1	23000001	0.11539256520839195	-0.1718318281150685	0.22396965087155
Finland_Spain	1	23500001	0	-0.021166130242792847	0.556143935343654
Finland_Spain	1	24000001	0	-0.15029833449415167	0.612380897891321
Finland_Spain	1	24500001	0.29057029347666097	-0.6792360199722578	0.609422499114044
Finland_Spain	1	25000001	0.24577052082843137	-0.49611716338229966	0.635052605676128
Finland_Spain	1	25500001	0.3634261175376064	-1.4325154731797864	0.0748695461233123
Finland_Spain	1	26000001	0.01754478762549929	-0.45838468204669525	4.05956126698152e-14
Finland_Spain	1	26500001	0	-0.2650249987283837	1.57269934377326
Finland_Spain	1	27000001	0	0.14650528621209918	1.09707350078319
Finland_Spain	1	27500001	0	0.1593901210390676	0.199388790106903
Finland_Spain	1	28000001	0.02095231739399254	-0.0071839048853520404	0.858102017805619
Finland_Spain	1	28500001	0.029471795661034896	-0.042159862203365865	0.959842410180202
Finland_Spain	1	29000001	0	0.04961225000448656	0.0748868437748415
Finland_Spain	1	29500001	0	0.4708074751322174	0.146873446163043
Finland_Spain	1	30000001	0	0.388729918115559	1.11616969743657
Finland_Spain	1	30500001	0	0.39192834730891524	0.475791359390669
Finland_Spain	1	31000001	0	0.08726091513161015	0.184195369737008
Finland_Spain	1	31500001	0.01720615927494533	-0.008105311385177828	0.775036958767758
Finland_Spain	1	32000001	0.05332989785446881	-0.16061072751216227	0.77503695877429
Finland_Spain	1	32500001	0	-0.07125230206824015	0.775036958752396
Finland_Spain	1	33000001	0	0.2048527778394876	0.776664025802277
Finland_Spain	1	33500001	0	0.2285885763922147	0.294497597002476
Finland_Spain	1	34000001	0.09819371510838094	-0.2877421857243443	0.359214374943293
Finland_Spain	1	34500001	0.050624862936163084	-0.15492606991326627	0.767138683785903
Finland_Spain	1	35000001	0	0.05240853592984306	0.868884052655591
Finland_Spain	1	35500001	0	0.16074154517385905	0.56250159802534
Finland_Spain	1	36000001	0.05734066137345837	-0.19924319095400955	1.31635204459282
Finland_Spain	1	36500001	0.017458932396880962	0.04084674008665469	5.02346853199741e-6
Finland_Spain	1	37000001	0	-0.0871352474610927	0.0267897464072836
Finland_Spain	1	37500001	0	0.050993127053367386	1.27381330476026
Finland_Spain	1	38000001	0.07517734335487071	0.11822309503095836	0.159336146226688
Finland_Spain	1	38500001	0.3004988496229422	-0.182958817360688	0
Finland_Spain	1	39000001	0	-0.029945817925822578	1.85841703009637e-13
Finland_Spain	1	39500001	0	0.22146629828970704	0.337617636662439
Finland_Spain	1	40000001	0.03648967638081407	-0.28520642031767945	1.07877459691974
Finland_Spain	1	40500001	0.30105167985278486	-1.1089537370242304	2.58077402042948e-13
Finland_Spain	1	41000001	0.11082980276387588	-0.6038937539830149	0.151453649558723
Finland_Spain	1	41500001	0	0.16864873370659736	0.39956983993646
Finland_Spain	1	42000001	0.190552245853549	0.2405747432215776	0.457493378101987
Finland_Spain	1	42500001	0	-0.20824099156936787	0.389585360296652
Finland_Spain	1	43000001	0	-0.022775740605230296	0.299596280239732
Finland_Spain	1	43500001	0.05726815267816388	-0.18140666106529565	0.457680077614918
Finland_Spain	1	44000001	0.03113724912049752	-0.13924277994689652	0.992030082290811
Finland_Spain	1	44500001	0	-0.12918247492515098	0.992030082270063
Finland_Spain	1	45000001	0	0.12319671156029868	0.992030082287843
Finland_Spain	1	45500001	0	-0.4881350876577694	0.992030082267468
Finland_Spain	1	46000001	0.11308135935312591	-0.22013385666907873	0.992030082280481
Finland_Spain	1	46500001	0.13305348050792143	-0.5462913254022304	0.98718678843215
Finland_Spain	1	47000001	0.14449934404407871	-0.6347696853140931	0.078437269241081
Finland_Spain	1	47500001	0	-0.16660386259801807	0.256499997592543
Finland_Spain	1	48000001	0	-0.16676743412202988	0.648394999665522
Finland_Spain	1	48500001	0	-0.06213637856173735	0
Finland_Spain	1	49000001	0.023944879725202522	-0.20824437278503308	0.934585179681905
Finland_Spain	1	49500001	0.2004541995879408	-0.15905865615922563	0.935836180947873
Finland_Spain	1	50000001	0	0.0355896758264178	0.13419597067412
Finland_Spain	1	50500001	0	-0.22656568502857205	1.00358296475231
Finland_Spain	1	51000001	0	0.03743620444938292	1.54971742668941
Finland_Spain	1	51500001	0.13087145258353375	-0.36151103188734723	0.235561594348197
Finland_Spain	1	52000001	0.5084482862221664	-0.30875209598485387	0.256068647882348
Finland_Spain	1	52500001	0.4368875147481273	-0.42019961854878995	0.0984046891327557
Finland_Spain	1	53000001	0.209072605284859	-0.2760282403413028	1.31662551948916
Finland_Spain	1	53500001	0	0.3546453103220506	0.0137065965862067
Finland_Spain	1	54000001	0.1280105141818552	-0.02411197607728431	0.131358983766721
Finland_Spain	1	54500001	0.32096573012187973	-0.1845209353067016	0.415813163834261
Finland_Spain	1	55000001	0.002900774930791046	0.04462957352292218	0.407679514828694
Finland_Spain	1	55500001	0.07603113630600579	0.22764021094736453	0.41450651509741
Finland_Spain	1	56000001	0.2550279132610452	-0.26785918918499757	0.838734273740884
Finland_Spain	1	56500001	0.016671431326956143	-0.3267637435254351	0.470704110230965
Finland_Spain	1	57000001	0.07429997774467005	-0.11443408877446327	0.467476710306876
Finland_Spain	1	57500001	0	-0.2701443606186645	0.467476710310049
Finland_Spain	1	58000001	0.5932242780632538	-1.0244543372124604	0.448378269773771
Finland_Spain	1	58500001	0.16742743473723593	-0.6233582698421241	0.922465966027931
Finland_Spain	1	59000001	0.08380606810524327	-0.5044140984700974	0.253682349025946
Finland_Spain	1	59500001	0	-0.12581755995043664	0.285969575945694
Finland_Spain	1	60000001	0.05045050279705869	-0.14274123960319635	0.457300425530609
Finland_Spain	1	60500001	0	0.22528757955621076	0
Finland_Spain	1	61000001	0.046574064614538786	-0.05244744277634681	0.475619497627459
Finland_Spain	1	61500001	0.27628561342310387	-0.08544286068260684	0.516355780137557
Finland_Spain	1	62000001	0	0.06994175585480004	0.420144830104225
Finland_Spain	1	62500001	0.03277304382219453	0.21868529440857504	0.940633757829587
Finland_Spain	1	63000001	0.003683281021674423	0.22561327366681552	1.67597169509987
Finland_Spain	1	63500001	0.011429233552490472	-0.3465541578798653	1.8163170473247
Finland_Spain	1	64000001	0.20143702971783473	-0.2480057051776261	0.583270765696174
Finland_Spain	1	64500001	0.10402437676767966	0.26537762784081165	0.523773814157043
Finland_Spain	1	65000001	0.03523404875547533	0.18158382115290164	0.523773814180713
Finland_Spain	1	65500001	0.30385429791563434	-0.5861429709378759	0.523773814177312
Finland_Spain	1	66000001	0.022125343781877322	-0.5542087920966405	0.523773814164864
Finland_Spain	1	66500001	0.07968660288673639	-0.2306479957847147	0.523773814170676
