V3 POS500KB MEAN_cM
1 0 4.14120329617847
1 5e+05 4.14120329618905
1 1e+06 3.66088039974953
1 1500000 11.2319451589486
1 2e+06 11.1985843249484
1 2500000 11.2404415577293
1 3e+06 6.46004642320352
1 3500000 8.87748590871485
1 4e+06 7.81155063984068
1 4500000 7.45616388810748
1 5e+06 6.15477761932004
1 5500000 2.76097037434016
1 6e+06 5.53342427985075
1 6500000 3.19745555487458
1 7e+06 2.63052361821207
1 7500000 0.992824487805656
1 8e+06 2.72820838054774
1 8500000 0.00112745019739122
1 9e+06 2.16316391925531
1 9500000 3.03399901386211
1 1e+07 0.512813562552523
1 10500000 0.513262620198617
1 1.1e+07 0.14889495478182
1 11500000 0.564955995958715
1 1.2e+07 0.564955995933766
1 12500000 0.564955995949167
1 1.3e+07 0.506913319169103
1 13500000 0.271365252072552
1 1.4e+07 0.757564324906053
1 14500000 0.274208907327834
1 1.5e+07 0.269519190247177
1 15500000 -1.78964508136913e-13
1 1.6e+07 0.0463003146097062
1 16500000 0.49500366722515
1 1.7e+07 1.0432969081076
1 17500000 1.82915073725078e-13
1 1.8e+07 0.577198905243604
1 18500000 0.7013226985271
1 1.9e+07 0.100669445495734
1 19500000 0.979974404299705
1 2e+07 0.116674435008728
1 20500000 1.60176377340265e-13
1 2.1e+07 0.788614591959249
1 21500000 0.94639183030527
1 2.2e+07 1.67960700880678
1 22500000 1.67960700881464
1 2.3e+07 0.22396965087155
1 23500000 0.556143935343654
1 2.4e+07 0.612380897891321
1 24500000 0.609422499114044
1 2.5e+07 0.635052605676128
1 25500000 0.0748695461233123
1 2.6e+07 4.05956126698152e-14
1 26500000 1.57269934377326
1 2.7e+07 1.09707350078319
1 27500000 0.199388790106903
1 2.8e+07 0.858102017805619
1 28500000 0.959842410180202
1 2.9e+07 0.0748868437748415
1 29500000 0.146873446163043
1 3e+07 1.11616969743657
1 30500000 0.475791359390669
1 3.1e+07 0.184195369737008
1 31500000 0.775036958767758
1 3.2e+07 0.77503695877429
1 32500000 0.775036958752396
1 3.3e+07 0.776664025802277
1 33500000 0.294497597002476
1 3.4e+07 0.359214374943293
1 34500000 0.767138683785903
1 3.5e+07 0.868884052655591
1 35500000 0.56250159802534
1 3.6e+07 1.31635204459282
1 36500000 5.02346853199741e-06
1 3.7e+07 0.0267897464072836
1 37500000 1.27381330476026
1 3.8e+07 0.159336146226688
1 38500000 -1.55067076324438e-13
1 3.9e+07 1.85841703009637e-13
1 39500000 0.337617636662439
1 4e+07 1.07877459691974
1 40500000 2.58077402042948e-13
1 4.1e+07 0.151453649558723
1 41500000 0.39956983993646
1 4.2e+07 0.457493378101987
1 42500000 0.389585360296652
1 4.3e+07 0.299596280239732
1 43500000 0.457680077614918
1 4.4e+07 0.992030082290811
1 44500000 0.992030082270063
1 4.5e+07 0.992030082287843
1 45500000 0.992030082267468
1 4.6e+07 0.992030082280481
1 46500000 0.98718678843215
1 4.7e+07 0.078437269241081
1 47500000 0.256499997592543
1 4.8e+07 0.648394999665522
1 48500000 -2.62861216502461e-13
1 4.9e+07 0.934585179681905
1 49500000 0.935836180947873
1 5e+07 0.13419597067412
1 50500000 1.00358296475231
1 5.1e+07 1.54971742668941
1 51500000 0.235561594348197
1 5.2e+07 0.256068647882348
1 52500000 0.0984046891327557
